CustomerID,TransactionDate,Amount
1,2023-02-16,760.09
1,2023-03-12,246.38
1,2022-01-30,685.23
1,2021-12-22,927.29
1,2023-02-23,747.81
1,2022-06-17,719.81
1,2023-09-30,59.99
1,2023-04-28,454.82
1,2023-04-29,959.91
1,2023-06-20,416.87
1,2022-10-12,488.21
1,2023-06-07,648.6
1,2023-10-01,708.88
1,2023-06-25,92.32
1,2023-01-28,513.36
1,2021-12-13,437.25
1,2022-04-04,525.17
1,2023-10-27,21.48
1,2022-11-16,356.65
1,2022-09-22,66.98
1,2022-01-11,827.03
1,2021-12-14,160.53
1,2022-06-14,170.85
1,2022-02-09,512.77
1,2022-08-04,986.88
1,2022-01-30,179.35
1,2023-06-12,292.21
1,2022-01-16,705.61
1,2023-09-08,295.95
1,2022-02-15,788.87
1,2023-10-15,83.84
1,2023-07-19,427.41
1,2022-06-18,822.52
1,2023-06-22,417.15
1,2023-03-30,772.76
1,2021-12-15,588.93
1,2022-10-20,868.93
1,2022-03-22,891.65
1,2022-09-14,428.47
1,2022-02-25,232.47
1,2023-08-21,347.0
1,2021-11-11,925.48
1,2021-12-30,292.31
1,2022-09-24,477.93
1,2022-08-03,366.37
1,2023-08-24,679.85
1,2021-12-11,749.95
1,2022-06-27,217.88
2,2023-05-19,68.9
2,2023-03-10,919.95
2,2022-07-31,832.06
2,2022-06-03,315.46
2,2023-09-12,762.66
2,2022-11-23,179.81
2,2023-09-05,10.83
2,2022-05-12,563.34
2,2023-06-07,215.81
2,2023-05-31,905.68
2,2023-01-03,778.25
2,2022-07-09,557.82
2,2022-10-25,422.1
2,2021-11-14,579.19
2,2023-01-04,264.17
2,2023-10-11,219.55
2,2023-10-22,491.93
2,2022-10-12,465.82
2,2023-02-08,378.42
2,2023-10-15,183.93
2,2022-05-16,190.57
2,2022-08-19,878.54
2,2022-01-11,142.8
2,2023-08-22,621.81
2,2022-12-05,182.37
2,2023-04-20,57.97
2,2023-08-20,31.58
2,2022-05-10,553.42
2,2023-08-29,103.13
2,2022-01-28,812.47
2,2023-09-05,594.42
2,2023-11-07,973.15
2,2022-07-23,161.09
2,2023-10-24,425.76
2,2022-07-07,639.82
2,2023-06-28,309.91
2,2023-01-27,20.14
2,2022-04-25,822.5
2,2023-07-19,427.93
2,2023-03-19,112.3
2,2022-04-23,667.07
2,2023-08-17,632.1
2,2022-03-13,416.72
3,2023-06-24,770.67
3,2022-08-20,369.4
3,2022-10-21,874.32
3,2022-11-09,108.5
3,2022-12-23,28.21
3,2022-08-03,778.21
3,2022-09-05,194.84
3,2022-02-24,24.52
3,2023-09-21,229.85
3,2022-11-13,949.32
3,2022-11-30,512.53
3,2022-07-24,524.61
3,2023-02-05,847.04
3,2022-02-12,710.74
3,2022-02-17,346.31
3,2022-02-01,457.13
3,2022-09-20,865.46
3,2023-01-20,737.89
3,2023-04-15,720.64
3,2022-01-05,112.66
3,2023-08-21,338.22
3,2022-09-22,412.25
3,2023-05-01,126.91
3,2023-09-16,464.6
3,2023-02-15,409.7
3,2023-01-10,948.36
3,2022-02-21,61.42
3,2023-11-06,863.52
3,2023-01-27,402.41
3,2022-02-05,700.38
3,2022-12-15,114.22
3,2021-12-15,995.34
3,2022-03-27,380.49
3,2023-11-04,409.86
3,2022-09-07,615.18
3,2022-06-16,528.83
4,2021-12-10,593.79
4,2023-03-31,842.29
4,2022-01-19,26.0
4,2022-01-26,288.91
4,2022-09-24,736.48
4,2022-04-10,37.52
4,2022-04-08,380.14
4,2022-09-10,675.03
4,2022-05-05,557.04
4,2022-01-29,291.06
4,2023-10-24,615.9
4,2022-05-29,501.73
4,2022-11-25,206.41
4,2023-03-27,942.34
4,2023-03-11,651.5
4,2022-02-28,957.02
4,2022-06-12,483.62
4,2022-03-23,887.77
4,2022-02-14,228.0
4,2022-11-04,456.32
4,2022-12-05,293.65
4,2022-10-04,579.22
4,2023-10-13,224.96
4,2023-09-26,401.11
4,2022-09-01,17.37
5,2023-03-02,684.86
5,2023-03-02,884.26
5,2023-01-04,324.12
5,2022-04-16,748.44
5,2022-08-30,967.58
5,2022-04-25,807.78
5,2023-01-14,741.0
5,2021-12-21,143.54
5,2022-10-24,324.83
5,2023-11-03,418.35
5,2022-05-01,949.76
5,2022-05-27,125.91
5,2022-08-02,899.56
5,2022-11-01,879.89
5,2022-07-01,123.04
5,2022-03-03,339.09
5,2023-02-28,200.29
5,2023-10-17,602.56
5,2023-07-08,427.58
5,2022-06-13,452.81
5,2022-02-11,199.73
5,2022-12-26,456.95
5,2023-08-01,684.68
5,2023-05-18,293.52
5,2023-03-28,770.75
5,2023-08-16,148.34
5,2022-12-05,365.67
5,2022-09-09,108.61
5,2023-01-02,292.15
5,2023-10-21,365.62
5,2023-01-23,223.69
5,2023-08-20,594.96
5,2023-03-03,169.1
5,2023-05-22,632.62
5,2022-10-09,454.64
5,2022-07-27,424.67
6,2023-07-25,701.68
6,2023-10-05,42.08
6,2023-01-29,841.56
6,2023-03-26,320.85
6,2022-05-29,280.2
6,2023-08-17,390.0
6,2022-11-25,158.42
6,2022-08-14,97.15
6,2022-09-19,694.32
6,2022-10-23,797.46
6,2022-09-06,849.29
6,2023-05-21,203.64
6,2022-06-10,815.22
6,2022-07-21,244.43
6,2023-06-16,243.66
6,2023-06-05,428.67
6,2023-08-05,723.69
6,2023-04-08,586.86
6,2022-11-12,561.07
6,2023-08-26,598.64
6,2022-10-23,748.25
6,2022-07-08,234.25
6,2023-08-03,225.3
6,2021-11-27,366.55
6,2022-01-20,373.22
6,2022-09-15,364.81
6,2022-02-20,140.77
6,2022-10-10,56.31
6,2021-12-31,449.15
6,2023-04-17,401.9
6,2023-04-14,505.17
6,2022-01-01,810.9
6,2021-12-18,613.41
6,2023-09-22,335.08
6,2022-06-08,75.27
6,2023-08-08,10.25
6,2022-03-23,728.25
6,2022-02-16,473.54
7,2023-06-27,108.5
7,2023-05-01,111.2
7,2023-08-04,874.81
7,2022-11-07,583.35
7,2023-04-24,751.48
7,2023-09-09,370.49
7,2022-02-23,790.69
7,2021-12-04,408.68
7,2021-12-29,641.04
7,2021-11-24,326.29
7,2022-04-27,932.07
7,2022-06-30,282.91
7,2022-06-28,819.93
7,2023-02-13,696.44
7,2022-04-30,909.55
8,2023-04-22,127.58
8,2023-02-09,513.46
8,2023-02-21,975.62
8,2023-10-13,378.37
8,2023-03-04,630.65
